"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"266",10,"Elic Ayomanor",TEN,"WR94","201","330","265.1","28.1","-"
"267",10,"Mason Taylor",NYJ,"TE32","228","334","276.1","25.8","-"
"268",10,"Jordan James",SF,"RB81","187","309","259.0","32.6","-4"
"269",10,"Tua Tagovailoa",ATL,"QB31","269","427","299.7","34.0","-21"
"270",10,"Seth McGowan",IND,"RB82","179","315","253.4","35.5","+11"
"271",10,"Tory Horton",SEA,"WR95","223","368","273.4","26.8","+51"
"272",10,"Darius Slayton",NYG,"WR96","","","","","-"
"273",10,"Chimere Dike",TEN,"WR97","221","375","268.9","30.9","-"
"274",10,"Michael Penix Jr.",ATL,"QB32","215","484","300.2","44.0","-21"
"275",10,"DJ Giddens",IND,"RB83","236","340","281.4","19.3","-"
"276",10,"Cyrus Allen",KC,"WR98","139","307","225.5","55.1","-54"
"277",10,"Marvin Mims Jr.",DEN,"WR99","236","339","275.4","21.7","-"
"278",10,"Theo Johnson",NYG,"TE33","219","344","275.1","28.1","+23"
"279",10,"Xavier Legette",CAR,"WR100","214","312","269.6","26.7","-"
"280",10,"Brashard Smith",KC,"RB84","233","318","278.5","22.4","-"
"281",10,"New Orleans Saints",NO,"DST17","209","381","260.8","35.7","-"
"282",10,"Harrison Butker",KC,"K16","225","308","253.1","15.7","-72"
"283",10,"Skyler Bell",BUF,"WR101","262","366","297.3","27.2","-27"
"284",10,"Shedeur Sanders",CLE,"QB33","259","381","308.7","24.5","-21"
"285",10,"Wil Lutz",DEN,"K17","237","327","275.3","24.2","-32"
"286",10,"Kyle Williams",NE,"WR102","209","393","277.1","32.3","-"
"287",10,"Kirk Cousins",LV,"QB34","252","580","313.0","56.5","-24"
"288",10,"Indianapolis Colts",IND,"DST18","214","495","279.5","52.9","-"
"289",10,"Deshaun Watson",CLE,"QB35","225","582","311.3","60.3","-25"
"290",10,"Eli Stowers",PHI,"TE34","223","360","289.3","36.3","-19"
"291",10,"Adam Randall",BAL,"RB85","226","353","282.2","26.4","-"
"292",10,"Devin Singletary",NYG,"RB86","255","367","292.6","21.0","-15"
"293",11,"Emari Demercado",DAL,"RB87","242","355","290.5","20.8","+7"
"294",11,"Tahj Brooks",CIN,"RB88","239","348","304.9","19.2","-"
"295",11,"Elijah Sarratt",BAL,"WR103","239","376","276.9","27.4","-"
"296",11,"San Francisco 49ers",SF,"DST19","216","365","271.0","34.1","-84"
"297",11,"Hollywood Brown",PHI,"WR104","251","365","294.1","22.1","-"
"298",11,"DeMario Douglas",NE,"WR105","194","342","268.7","38.9","-"
"299",11,"Christian Kirk",SF,"WR106","257","415","293.3","37.4","-"
"300",11,"Trevor Etienne",CAR,"RB89","276","344","303.1","14.3","-"
"301",11,"Mack Hollins",NE,"WR107","236","409","297.4","34.5","-"
"302",11,"Greg Dulcich",MIA,"TE35","172","324","226.5","38.6","-51"
"303",11,"Jaydon Blue",PHI,"RB90","188","382","257.6","47.7","-22"
"304",11,"Isaiah Bond",CLE,"WR108","266","345","301.1","21.3","-"
"305",11,"Dallas Cowboys",DAL,"DST20","187","497","308.3","91.2","-151"
"306",11,"Mike Gesicki",CIN,"TE36","216","313","269.2","26.7","-"
"307",11,"Devin Neal",FA,"RB91","224","383","281.6","34.0","-"
"308",11,"Trey Benson",ARI,"RB92","235","366","291.1","26.9","-4"
"309",11,"Oscar Delp",NO,"TE37","260","358","318.1","36.4","-"
"310",11,"Isaac Guerendo",SF,"RB93","255","456","313.1","41.4","-"
"311",11,"Andrei Iosivas",CIN,"WR109","209","335","278.5","31.0","-"
"312",11,"Will Shipley",PHI,"RB94","291","410","314.6","22.9","-"
"313",11,"Audric Estime",NO,"RB95","271","432","314.6","31.6","-"
"314",11,"Jake Tonges",SF,"TE38","221","348","286.2","34.3","-23"
"315",11,"Darren Waller",CAR,"TE39","194","341","252.0","38.9","-10"
"316",11,"Jerome Ford",WAS,"RB96","252","348","297.4","23.3","-"
